sample	datatype	file_name	remote_path	accession
NA19238	hifi	m64119e_230531_095655.hifi_reads	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190901_163200.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190831_102034.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190830_040857.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190828_220241.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190818_202358.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m64039_190817_141701.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m54336U_191017_101413.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19238	hifi	NA19238_20191205_CLEE_m54336U_191015_222230.ccs	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19238_HIFI	unknown
NA19240	hifi	m84046_231117_203108_s3.hifi_reads.bc2078	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	unknown
NA19240	hifi	m84046_231113_224421_s1.hifi_reads.bc2078	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	unknown
NA19240	hifi	m84046_231007_214225_s2.hifi_reads.bc2078	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	unknown
NA19240	hifi	NA19240_20191002_CLEE_m64039_190930_063309.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m64039_190922_223056.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m54336U_190829_230546.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m54336U_190828_075428.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
NA19240	hifi	NA19240_20191002_CLEE_m54336U_190827_013439.ccs	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	unknown
HG00732	hifi	m84046_231117_203108_s3.hifi_reads.bc2033	IGSR:HGSVC3:/working/20231126_UW_HiFi/HG00732	unknown
HG00732	hifi	m84046_231113_224421_s1.hifi_reads.bc2033	IGSR:HGSVC3:/working/20231126_UW_HiFi/HG00732	unknown
HG00732	ont	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221220_HG00732_UL_eee-prom1-2C-PAG67955_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221214_HG00732_UL_eee-prom1-2E-PAG68402_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221214_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00732	ont	20221213_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown
HG00733	ont	HG00733_20220215_UL_eee-prom1-2G-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20220215_UL_eee-prom1-2E-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20220215_UL_eee-prom1-1F-PAJ09070_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20220215_UL_eee-prom1-1D-PAJ02977_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20210729_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20210729_UL_eee-prom1-1E-PAH36624-2_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20210728_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00733	ont	HG00733_20210727_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown
HG00512	ont	20230626_230620_23-lee-007_PCA100115_3F-run15_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/HG00512	PRJEB58376
HG00513	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191007_S64049_PL100139348-2_D01.ccs	IGSR:HGSVC2:/working/20191031_CHS_PacBio_HG00513_HiFi	unknown
HG00513	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191007_S64049_PL100139348-2_C01.ccs	IGSR:HGSVC2:/working/20191031_CHS_PacBio_HG00513_HiFi	unknown
HG00513	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191004_S64018_PL100139348-1_D01.ccs	IGSR:HGSVC2:/working/20191031_CHS_PacBio_HG00513_HiFi	unknown
HG00513	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191004_S64018_PL100139348-1_C01.ccs	IGSR:HGSVC2:/working/20191031_CHS_PacBio_HG00513_HiFi	unknown
HG00513	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20190920_S64018_PL100139348-1_D01.ccs	IGSR:HGSVC2:/working/20191031_CHS_PacBio_HG00513_HiFi	unknown
HG00513	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20190920_S64018_PL100139348-1_B01.ccs	IGSR:HGSVC2:/working/20191031_CHS_PacBio_HG00513_HiFi	unknown
HG00514	hifi	m84046_231007_211119_s1.hifi_reads.bc2068	IGSR:HGSVC3:/working/20231126_UW_HiFi/HG00514	unknown
HG00514	hifi	m54329U_200719_061020.ccs	IGSR:HGSVC2:/working/20200731_CHS_PacBio_HG00514_HiFi_reseq	unknown
HG00514	hifi	m54329U_200717_235548.ccs	IGSR:HGSVC2:/working/20200731_CHS_PacBio_HG00514_HiFi_reseq	unknown
HG00514	hifi	m54329U_200715_194535.ccs	IGSR:HGSVC2:/working/20200731_CHS_PacBio_HG00514_HiFi_reseq	unknown
HG01573	ont	20230209_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20230207_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20221025_HG01573_UL_eee-prom1-1A-PAM79285_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20221018_HG01573_UL_eee-prom1-1B-PAM78356_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20221013_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20221012_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20221011_HG01573_UL_eee-prom1-1C-PAM78043_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20221004_HG01573_UL_eee-prom1-1A-PAM23460_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG01573	ont	20220920_HG01573_UL_eee-prom1-1C-PAM64632_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01573	unknown
HG00171	hifi	m54329U_220214_093304.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00171	unknown
HG00171	hifi	m54329U_220212_223600.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00171	unknown
HG00171	hifi	m54329U_220205_003428.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00171	unknown
HG00171	ont	20221214_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20221213_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20221101_HG00171_UL_eee-prom1-1A-PAM78908_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20221018_HG00171_UL_eee-prom1-1A-PAM70063_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20221013_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20221013_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20221011_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20221011_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00171	unknown
HG02587	ont	20230207_HG02587_UL_eee-prom1-3B-PAG84362_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221025_HG02587_UL_eee-prom1-1B-PAM76612_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221018_HG02587_UL_eee-prom1-1C-PAM78364_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221013_HG02587_UL_eee-prom1-1H-PAM78285_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221013_HG02587_UL_eee-prom1-1E-PAM79160_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221013_HG02587_UL_eee-prom1-1D-PAM78114_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221012_HG02587_UL_eee-prom1-1H-PAM78285_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221011_HG02587_UL_eee-prom1-1E-PAM79160_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221011_HG02587_UL_eee-prom1-1D-PAM78114_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221004_HG02587_UL_eee-prom1-1C-PAM23141_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20221004_HG02587_UL_eee-prom1-1B-PAM23321_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG02587	ont	20220920_HG02587_UL_eee-prom1-1D-PAM64430_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02587	unknown
HG01114	ont	20221207_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG01114	ont	20221206_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG01114	ont	20221130_HG01114_UL_eee-prom1-2B-PAG69678_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG01114	ont	20221108_HG01114_UL_eee-prom1-3A-PAM79079_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG01114	ont	20221103_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG01114	ont	20221102_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG01114	ont	20221101_HG01114_UL_eee-prom1-1B-PAM79352_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG01114	ont	20221025_HG01114_UL_eee-prom1-1C-PAM78971_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown
HG02018	hifi	m54329U_220129_124757.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG02018	unknown
HG02018	hifi	m54329U_220128_015221.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG02018	unknown
HG02018	hifi	m54329U_220125_004416.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG02018	unknown
HG02018	ont	20230210_HG02018_UL_eee-prom1-3B-PAG76493_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
HG02018	ont	20221207_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
HG02018	ont	20221206_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
HG02018	ont	20221130_HG02018_UL_eee-prom1-2C-PAM77931_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
HG02018	ont	20221108_HG02018_UL_eee-prom1-3B-PAM64235_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
HG02018	ont	20221102_HG02018_UL_eee-prom1-3H-PAM78744_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
HG02018	ont	20221101_HG02018_UL_eee-prom1-1G-PAM79302_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
HG02018	ont	20221025_HG02018_UL_eee-prom1-1D-PAM78083_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG02018	unknown
NA19036	hifi	m64076_220130_234407.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA19036	unknown
NA19036	hifi	m64076_220129_125006.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA19036	unknown
NA19036	hifi	m64076_220125_004322.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA19036	unknown
NA19036	ont	20230210_NA19036_UL_eee-prom1-3C-PAG85559_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19036	unknown
NA19036	ont	20221130_NA19036_UL_eee-prom1-2D-PAG70076_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19036	unknown
NA19036	ont	20221115_NA19036_UL_eee-prom1-2B-PAM78537_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19036	unknown
NA19036	ont	20221110_NA19036_UL_eee-prom1-3C-PAM78532_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19036	unknown
NA19036	ont	20221108_NA19036_UL_eee-prom1-3C-PAM78532_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19036	unknown
NA19036	ont	20221101_NA19036_UL_eee-prom1-1F-PAM77935_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/NA19036	unknown
NA12329	hifi	m64076_220128_015732.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA12329	unknown
NA12329	hifi	m64076_220126_113534.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA12329	unknown
NA12329	hifi	m64076_220122_011847.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/NA12329	unknown
